University_Name,Alumni,Staff,Hici,N&S,PUB,PCP
Prince Sattam Bin Abdulaziz University,0,0,0,0,40.7,17.2
Chang Gung University,0,0,0,2.9,31.6,22.1
National Sun Yat-Sen University,0,0,6.5,3.4,26.6,18.7
Khalifa University,0,0,11.3,1.4,27.4,12.6
COMSATS University Islamabad,0,0,0,2.9,37,15.8
North-West University,10.4,0,6.5,5.7,25.6,11.9
Addis Ababa University,16.4,0,0,6.1,25.3,12.1
University of Haifa,0,0,0,8.5,29.9,20.8
Università Della Svizzera Italiana,0,0,9.2,12.6,15.5,20.8
Manchester Metropolitan University,0,0,9.2,5.2,23.9,14.2
"University of Natural Resources and Life Sciences, Vienna",0,0,9.2,5.2,22.3,23.3
Bielefeld University,0,0,6.5,4.5,25.8,23.8
Bangor University,10.4,0,9.2,5.7,17.4,20.6
University of Luxembourg,0,0,11.3,7.3,24.1,11.7
Technical University of Braunschweig,11.6,0,0,6.3,22.9,23.9
University of Luebeck,0,0,6.5,8.1,19.9,21.3
University of Galway,0,0,9.2,7.4,26.1,12.1
Hong Kong Baptist University,0,0,6.5,6.7,25.5,15.6
University of Tartu,0,0,6.5,9.2,26.6,12.2
University of Iceland,0,0,6.5,10.7,23.2,11.2
Ural Federal University,0,0,6.5,2.5,31.8,13.8
Brescia University,0,0,6.5,4.7,26.3,21.2
Liverpool John Moores University,0,0,6.5,8.9,24.1,13.4
Dalian Maritime University,0,0,6.5,1.4,31.2,12.9
University of Graz,12.7,0,0,8.2,21,19.6
Colorado School of Mines,0,0,9.2,7.6,18.8,21.1
Shinshu University,0,0,9.2,6.2,23,13.1
Humanitas University,0,0,11.3,5.7,19.5,22
Tokyo University of Science,11.6,0,6.5,6.3,22.3,10.8
Brigham Young University,7.3,0,6.5,5.9,25.2,12.5
The University of Alabama - Tuscaloosa,0,0,0,6.8,31.1,15
Pontifical Catholic University of Chile,0,0,0,8.6,32.7,14.4
University of Toledo,0,0,9.2,9.5,19.9,18.6
National Polytechnic Institute,0,0,0,4,34.7,14.8
University of Health Sciences Turkey,0,0,0,1.4,36.5,15.5
Mansoura University,0,0,0,2.5,36.2,15.4
University Putra Malaysia,0,0,6.5,2.5,29.5,12.9
University of Siena,0,0,6.5,6.7,26.1,19.4
Hunan Normal University,0,0,6.5,2.5,33,11.9
Nantong University,0,0,0,3.8,35.6,12.4
University of Sherbrooke,0,0,0,11.5,26.8,13.4
Chulalongkorn University,0,0,0,2.9,35.2,15
University of Clermont Auvergne,0,0,6.5,5.5,28.4,14.6
Mahidol University,0,0,0,5.7,35.4,15.2
Concordia University,0,0,6.5,5.4,28.7,15
Alexandria University,11.6,0,0,3.6,32.2,14.2
National University of Malaysia,0,0,0,3.8,33.8,14.4
Wayne State University,0,0,0,6.1,32.4,14.4
Ain Shams University,0,0,0,5.1,33.5,14.4
University of Concepcion,0,0,6.5,6.1,24.1,10.9
University of Hull,13.7,0,0,5.7,18.9,19.3
University of Plymouth,0,0,9.2,4.3,21.4,17.5
The Open University,0,0,6.5,9.3,21,12
"St George's, University of London",0,0,9.2,4,18.6,20
Chongqing University of Posts and Telecommunications,0,0,9.2,0,26.8,12
National Taiwan University of Science and Technology,0,0,9.2,1.4,24.5,19.3
Xi'an University of Science and Technology,0,0,6.5,1.4,27.2,11.9
Iran University of Medical Sciences,0,0,6.5,3.5,26.9,11.8
Beijing Technology and Business University,0,0,6.5,2,27.9,14.1
Suzhou University of Science and Technology,0,0,6.5,0,29,11.9
Hubei University,0,0,6.5,3.8,25.9,11
Henan University of Science and Technology,0,0,6.5,2.7,29.8,9.8
University of the Sunshine Coast,0,0,6.5,5.5,20.5,21.1
Chang'an University,0,0,0,1.4,36.6,12.7
Chengdu University of Technology,0,0,0,5.5,32.7,12.3
University of Eastern Piedmont,0,0,6.5,3.8,20.7,20.6
Southern Methodist University,10.4,0,6.5,5.3,18.5,16.8
University of Ferrara,0,0,0,5,27.5,20.6
Homi Bhabha National Institute,0,0,0,6.8,30.6,13.3
Lanzhou University of Technology,0,0,6.5,0,28.5,11.9
Asia University,0,0,6.5,1.4,23.8,21.7
Army Medical University,0,0,0,7.2,28.9,12.6
Taipei Medical University,0,0,0,3.2,29.3,18.5
Brno University of Technology,0,0,6.5,5,21.4,17
Sharif University of Technology,14.7,0,0,2.5,26.3,12
Istanbul Technical University,0,0,6.5,2.5,28.7,12.5
Shanghai Ocean University,0,0,6.5,2,26.5,15.7
Shantou University,0,0,0,4.7,29.7,14.9
Zhejiang Normal University,0,0,0,4.6,33.6,11.9
Norwegian University of Life Sciences,0,0,6.5,6.2,19.5,17.7
Beijing Forestry University,0,0,0,3.5,33.4,15.6
Umm Al-Qura University,0,0,0,0,34,14.4
Brunel University London,0,0,9.2,2.5,24.1,16.7
Koc University,0,0,6.5,5.9,23.7,10.7
Syracuse University,0,0,0,10,25,12.9
University of Cyprus,0,0,6.5,3.2,23.3,21.2
University of Greenwich,16.4,0,6.5,4,18.4,13.3
Rutgers University-Newark,0,0,6.5,9.1,19.6,15.8
Ohio University,12.7,0,0,9.2,18.5,15.4
Hacettepe University,0,0,0,2.9,33.1,14.1
Al-Azhar University,0,0,0,2,32.2,13.7
Zagazig University,0,0,6.5,0,30.8,13.4
University of Ulster,0,0,11.3,4.5,20.1,15
University of Palermo,0,0,0,4.5,31.9,16.3
University of Calabria,0,0,6.5,2,23.8,17.1
Xinjiang University,0,0,0,0,35,13.4
University of the Punjab,12.7,0,0,1.4,29.9,13.3
NOVA University Lisbon,0,0,6.5,5,25.6,15.1
University of Eastern Finland,0,0,0,6.9,29.8,13
Orebro University,0,0,6.5,3.9,22.9,19.7
Jeonbuk National University,0,0,0,4.2,31.5,15.9
Chung-Ang University,0,0,0,2.9,32.8,15.9
Chungbuk National University,0,0,6.5,2.5,27,16.5
University of Malaga,0,0,0,5,29.2,14
Federal University of Sao Paulo,0,0,0,3.9,30.5,13
University of Extremadura,0,0,9.2,3.9,22.5,14.4
Kent State University,0,0,9.2,4.3,21.1,13.6
Clemson University,0,0,0,6.4,30.2,16.2
University at Albany (State University of New York),0,0,6.5,4.5,22.7,17.4
Hasselt University,0,0,6.5,3.8,20.9,21
The University of Texas at Arlington,0,0,6.5,3.8,25.2,17.6
University of Tennessee Health Science Center,0,0,9.2,7.8,21.5,11.7
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,0,0,0,1.4,34.5,14.6
University of Idaho,0,0,6.5,8.8,18.2,16.3
University of Wyoming,0,0,6.5,5.7,22.4,16.9
University of Sharjah,0,0,6.5,2,28.4,12.4
University of Jyvaskyla,0,0,0,8,27.7,12.2
Chungnam National University,0,0,0,2,32.8,16.8
Paris-East Créteil University,0,0,6.5,5.2,23.5,14.1
New Jersey Institute of Technology,0,0,6.5,7.4,18.1,18.6
University of Magdeburg,0,0,0,5.9,23.6,23
University of Greifswald,0,0,6.5,7.2,18,19.4
University of Augsburg,0,0,6.5,5.7,19.5,20.2
University of Oldenburg,0,0,0,9.5,21.2,22.1
Technical University of Dortmund,0,0,0,4.3,26.8,24.9
Shahid Beheshti University of Medical Sciences,0,0,0,4,30.9,13.2
Loughborough University,0,0,0,5,27.9,16.7
Northumbria University,0,0,0,5.9,28.7,12.9
King Fahd University of Petroleum & Minerals,0,0,0,0,31.1,20.4
Qassim University,0,0,6.5,1.4,29.1,12.7
Harbin Medical University,0,0,0,2,31.3,17.3
China Medical University (Shenyang),0,0,0,2,33.2,18.6
Indian Institute of Technology Roorkee,0,0,6.5,0,29.1,12.6
Kitasato University,0,13.8,0,5,19.2,10.3
University of Alcalá,0,0,0,7.8,25.9,17.3
Universitat de Lleida,0,0,9.2,3.8,18.4,19.9
University Rovira i Virgili,0,0,0,5.2,24.2,23.5
Kindai University,0,0,9.2,6.4,22.2,10.6
Federal University of Santa Catarina,0,0,0,4.4,30.2,12.9
University of Castilla–La Mancha,0,0,6.5,2.5,26.6,13.9
Federal University of Parana,0,0,0,3.2,32.9,14
Federal University of Santa Maria,0,0,9.2,4.7,25,11.5
University of Brasília,0,0,0,5.9,29.7,12.8
The Royal Veterinary College,0,0,6.5,9.1,13.9,16.9
Memorial University of Newfoundland,0,0,6.5,4.3,22.6,12.8
Kanazawa University,0,0,0,8.2,25.1,13.5
University of Burgundy,0,0,0,6.2,26.6,15.1
University Savoie Mont Blanc,0,0,0,8.1,21.5,19.1
INSA Toulouse,0,0,11.3,4.5,13.1,16.9
Heriot-Watt University,0,0,6.5,3.9,19.9,17.4
"Royal Holloway, University of London",0,0,0,8.5,21.8,16.9
"Birkbeck, University of London",0,0,6.5,6.6,17.2,17
Cranfield University,0,0,6.5,2.9,20.2,18.7
Ankara University,0,0,0,4.3,29.9,12.8
Nottingham Trent University,0,0,6.5,2,23.6,16.8
American University of Beirut,0,0,9.2,2.5,20.5,9.6
The Graduate University for Advanced Studies,0,0,0,12.8,19,9.7
The University of Waikato,0,0,6.5,2.9,20.4,19.1
University of Regina,0,0,6.5,5.5,18.1,14.8
King Faisal University,0,0,0,3.9,27.9,11.9
University of Oviedo,0,0,0,6,27.2,13.7
Massey University,0,0,0,5.9,25.7,16.5
National University of Cordoba,0,0,6.5,5.4,20.6,9.4
National Chung Hsing University,0,0,0,3.5,28,16
University of Stirling,0,0,6.5,7.3,17.7,16.9
University of Quebec Montreal,0,0,0,4.6,26.7,13
University of Girona,0,0,0,4.4,22.8,22
Budapest University of Technology and Economics,16.4,0,0,3.8,21.7,10.5
United Arab Emirates University,0,0,0,5.5,28.6,12.3
University of Thessaly,0,0,6.5,4.3,24,10.7
"National University of Ireland, Maynooth",11.6,0,9.2,2.5,17.4,9.1
Catholic University of Korea,0,0,0,2.5,30.8,14.3
University of Vigo,0,0,0,4.5,26.5,15.8
National Technical University of Athens,0,0,6.5,0,25.4,11.1
Czech University of Life Sciences Prague,0,0,0,4.3,22.7,21.9
Polytechnic University of Catalonia,0,0,0,3.8,27.8,17.3
University of Limerick,0,0,6.5,4,23.2,10.3
University of Crete,0,0,6.5,6.6,20.8,9.6
AUT University,0,0,6.5,2,21.2,15.1
National University of Colombia,0,0,0,5.5,26.9,11.7
Czech Technical University in Prague,5.2,0,0,3.6,25,14.9
University of Jordan,0,0,6.5,1.4,23.5,10.4
University of Kassel,0,0,6.5,3.8,18.7,18.3
Politecnico di Bari,0,0,6.5,5.2,18.1,18.8
Free University of Bozen-Bolzano,0,0,9.2,2,17,18.4
Campus Bio-Medico University of Rome,0,0,11.3,2.5,15.3,18.2
Scuola Normale Superiore - Pisa,15.6,0,0,5.3,16.5,19.4
University of Messina,0,0,0,2.9,28.9,17.6
University of Modena and Reggio Emilia,0,0,0,2.5,28.6,18.4
University of Cagliari,0,0,0,3.8,26.6,16.9
University of Canberra,0,0,0,2.9,23.5,22.2
Dongguk University,0,0,0,3.4,26.8,14
Nagasaki University,10.4,0,0,4,23,11.9
Gdansk University of Technology,0,0,9.2,1.4,22.6,14.4
Hebei Medical University,0,0,0,0,31.6,18.4
Northeast Forestry University,0,0,0,2,30.8,13.6
Johannes Kepler University Linz,0,0,0,6.2,21.7,21.4
University of Salzburg,0,0,6.5,2,19.4,19.5
Aligarh Muslim University,0,0,6.5,2.9,22.6,10
Saveetha Institute of Medical and Technical Sciences (Deemed to be University),0,0,0,0,32.7,13.9
Indian Institute of Technology Madras,0,0,0,3.2,31,13.2
Indian Institute of Technology Kharagpur,0,0,0,0,32.1,13.6
Xiangtan University,0,0,0,3.8,29.2,11.4
Skolkovo Institute of Science and Technology,0,0,6.5,8.9,17.7,8.8
Sichuan Agricultural University,0,0,0,2,32.5,11.1
Florida Atlantic University,0,0,6.5,4.4,20.6,14.5
University of Texas Rio Grande Valley,0,0,9.2,5,18.2,12.1
SUNY Downstate Health Sciences University,0,14.1,0,3.2,14.6,16.2
University of Wisconsin-Milwaukee,9,0,0,5.9,20.6,13.9
University of Texas at El Paso,0,0,6.5,6.6,18.3,15.4
The Education University of Hong Kong,0,0,6.5,0,24,16.6
Federal University of Viçosa,0,0,6.5,2.9,24.2,10.7
University of Missouri-Kansas City,0,0,6.5,2.7,20.4,15.3
University of Alaska - Fairbanks,0,0,0,11.6,16.4,19.1
Old Dominion University,0,0,6.5,6.9,19.5,14.3
Federal University of Sao Carlos,0,0,0,5.4,27.3,11.8
University of Rhode Island,0,0,6.5,3.8,21.4,15.4
Southwest Petroleum University,0,0,0,2.5,31.8,12.1
Hangzhou Normal University,0,0,0,3.2,29.7,11.8
Chengdu University,0,0,0,1.4,30.3,12.1
China Pharmaceutical University,0,0,0,5,26.9,13.1
Gachon University,0,0,0,2,29.5,15.9
University of Campania Luigi Vanvitelli,0,0,0,2.5,29.1,18.3
Istanbul University Cerrahpaşa,0,0,6.5,0,25.4,11.1
Kangwon National University,0,0,0,3.5,26.3,13.8
Novosibirsk State University,12.7,0,0,3.5,23.2,10.7
University of Salerno,0,0,0,2.9,28.4,16.7
Xuzhou Medical University,0,0,0,2,28.9,15.1
Wuhan University of Science and Technology,0,0,0,2.5,32.1,12
Liaocheng University,0,0,6.5,1.4,26,10.2
Jimei University,0,0,6.5,4.5,21.2,9.5
Shandong Normal University,0,0,0,2,31.7,11.8
Xi'an University of Architecture and Technology,0,0,0,0,31.8,11.9
Graz University of Technology,0,0,0,6.2,21.3,21.1
Anhui Agricultural University,0,0,6.5,1.4,25.4,11.7
Shaanxi University of Science and Technology,0,0,6.5,0,27.1,12.6
Qingdao Agricultural University,0,0,6.5,3.2,23.5,9.4
Capital Normal University,0,0,6.5,5.2,23.3,10.5
Shanghai Normal University,0,0,0,5.6,26,10
Heilongjiang University,0,0,11.3,1.4,21.3,9.5
Jiangxi Normal University,0,0,9.2,1.4,24.4,9.8
University of South China,0,0,0,1.4,30.8,12.6
Dublin City University,0,0,6.5,3.2,20.4,9.2
Juntendo University,0,0,0,5.3,24.7,10.7
Ajou University,0,0,0,2,25.3,15.3
Liaoning University of Technology,0,0,17.2,0,12.8,12.2
Hallym University,0,0,0,3.5,24.2,14.7
Harbin University of Science and Technology,0,0,6.5,0,23.5,9.7
Loyola University Chicago,0,0,0,4.9,22.4,14.1
Amherst College,24.4,0,0,4.6,9.3,19.1
University of Alabama in Huntsville,0,0,6.5,6.4,13.5,15.5
Tanta University,0,0,0,1.4,26.9,11.4
Lehigh University,0,0,0,6.8,20.2,15.5
Wuhan Institute of Technology,0,0,0,3.2,25.7,11.1
Jiangsu University of Science and Technology,0,0,0,0,30.8,11.4
Tianjin University of Science and Technology,0,0,6.5,0,23.4,10.8
Inner Mongolia University,0,0,6.5,1.4,22.4,10.1
Henan Polytechnic University,0,0,0,0,29.5,9.6
Henan Agricultural University,0,0,0,3.5,26.2,10.1
Guilin University of Electronic Technology,0,0,0,1.4,27.4,10.7
Changsha University of Science and Technology,0,0,0,2.3,28.2,10.1
Suez Canal University,0,0,6.5,2.9,20.3,9.1
North Dakota State University,0,0,6.5,1.4,19.4,15.6
Yokohama City University,0,0,0,8.6,22.1,10.1
University of South Africa,13.7,0,0,1.4,22.8,10.5
The University of Tokushima,12.7,0,0,6.9,17.8,11.2
Guangzhou University of Chinese Medicine,0,0,0,2,27.8,11.1
Huaqiao University,0,0,0,3.2,25.6,10.1
Yantai University,0,0,0,2,27.2,11.3
Zhejiang A&F University,0,0,0,3,26.3,11.5
Yangtze University,0,0,0,1.4,28.6,10.5
Xi'an Jiaotong-Liverpool University,0,0,6.5,0,22.2,11.4
University of Novi Sad,0,0,0,2.9,27.1,11.6
University of Patras,0,0,0,3.8,26.6,11.4
Western Norway University of Applied Sciences,0,0,9.2,3.5,17.7,10.4
University of Hertfordshire,0,0,6.5,5.8,18.5,10.7
Kumamoto University,0,0,0,6.1,23,13.7
University of Portsmouth,0,0,0,4.7,23,12.6
University of Bradford,0,0,6.5,4.7,16.4,13.9
Ege University,0,0,0,3.5,26.8,11.5
Shanxi Medical University,0,0,0,0,28.8,15.5
Cukurova University,0,0,6.5,2.5,22.3,9.9
Augusta University,0,0,6.5,2,20.5,12
University of Poitiers,10.4,0,0,5.4,19.3,11.5
Lakehead University,0,0,9.2,4,14.6,15.8
University of New Brunswick,0,0,6.5,3.2,18.8,13.9
Tokyo University of Agriculture and Technology,0,0,0,7,18.9,16.7
Sunway University,0,0,11.3,0,20.2,9.8
University of Central Lancashire,0,0,9.2,5,15.5,9
Shanghai University of Traditional Chinese Medicine,0,0,0,0,27.5,16.4
National University of Sciences and Technology Pakistan,0,0,0,0,28.8,12.2
Amirkabir University of Technology,0,0,0,2,27,11.5
National Central University,0,0,0,3.5,24.4,16.2
Kaohsiung Medical University,0,0,0,0,26.8,19.5
Charles Sturt University,0,0,6.5,2,19,17.6
University of Cantabria,0,0,0,5.2,21.3,17
Jazan University,0,0,0,2.9,26.6,11.3
University of Valladolid,0,0,0,3.5,24.9,13.4
University of Jaen,0,0,6.5,1.4,21.1,14.9
Universidad de Cadiz,0,0,0,5.4,22.6,14.8
University of Cordoba,0,0,0,2.5,25.1,16.4
Carlos III University of Madrid,0,0,0,4.9,23.2,14.9
Nicolaus Copernicus University,0,0,0,5.5,23.7,10.2
Adam Mickiewicz University,0,0,0,5.7,25.1,9.2
University of Nebraska Medical Center,0,0,0,4.3,23.6,17
Roma Tre University,0,0,0,5.2,23.9,15
Universidade Federal de Pelotas,0,0,6.5,2.5,20.7,9.2
Federal University of Goiás,0,0,0,5.7,24.2,10.5
Federal University of Ceara,0,0,0,4.7,24.9,10.7
Federal University of Pernambuco,0,0,0,2.5,28,11.9
University of Udine,0,0,0,3.5,22.7,17.3
University of Hohenheim,0,0,0,6.5,19.4,19.4
Federal University of Bahia,0,0,0,5,23.9,10.3
Manipal Academy of Higher Education,0,0,0,0,29.5,12.5
University of Calcutta,17.2,0,0,2,18.8,9.5
Indian Institute of Technology Kanpur,0,0,0,3.8,26.5,11.4
Banaras Hindu University,0,0,0,2.5,28,11.9
University of Tabriz,0,0,0,1.4,27.1,11.5
Guangxi Medical University,0,0,0,2,28.3,9.7
Guangdong Ocean University,0,0,6.5,1.4,22.5,9.2
Dalian Polytechnic University,0,0,6.5,0,22,12.7
Dalian Medical University,0,0,0,1.4,25.1,15.5
North University of China,0,0,0,1.4,27.5,10
Gyeongsang National University,0,0,0,1.4,26.3,13.5
Ataturk University,0,0,0,2.5,26.4,11.3
University of Kaiserslautern-Landau,15.6,0,0,5.8,18,9.3
Wroclaw Medical University,0,0,6.5,0,21.5,14.7
Iran University of Science & Technology,0,0,0,0,28.9,12.3
Warsaw University of Technology,0,0,0,3.2,25.3,11.1
AGH University of Krakow,0,0,0,2,28,11.6
Taras Shevchenko National University of Kyiv,15.6,0,0,3.8,19.2,9.5
Universite de Tunis El Manar,0,0,0,3.5,25.1,10.7
University of Ghana,0,0,0,6.2,23.6,10.4
Hassan II University of Casablanca,0,0,6.5,2.9,20.5,9.2
Comenius University in Bratislava,0,0,0,5.2,25.5,11
Singapore University of Technology & Design,0,0,9.2,4.7,17.5,8.6
Universidad Andrés Bello,0,0,6.5,4,21.1,9.5
University of Lahore,0,0,0,1.4,27.5,11.7
Linnaeus University,0,0,6.5,3.5,19,13.3
University of Wuppertal,0,0,0,6.9,19.3,19.4
Abdul Wali Khan University Mardan,0,0,6.5,3.8,20.9,9.4
